id,category,artwork,public_release,rounded
home,navigation,drawn-pilot,not-released,not-drawn
menu,navigation,drawn-pilot,not-released,not-drawn
more,navigation,drawn-pilot,not-released,not-drawn
search,navigation,drawn-pilot,not-released,not-drawn
grid,navigation,drawn-pilot,not-released,not-drawn
arrow-left,navigation,drawn-pilot,not-released,not-drawn
arrow-right,navigation,drawn-pilot,not-released,not-drawn
arrow-up,navigation,drawn-pilot,not-released,not-drawn
arrow-down,navigation,drawn-pilot,not-released,not-drawn
arrow-up-right,navigation,drawn-pilot,not-released,not-drawn
chevron-left,navigation,drawn-pilot,not-released,not-drawn
chevron-right,navigation,drawn-pilot,not-released,not-drawn
chevron-up,navigation,drawn-pilot,not-released,not-drawn
chevron-down,navigation,drawn-pilot,not-released,not-drawn
external-link,navigation,not-drawn,not-released,not-drawn
expand,navigation,not-drawn,not-released,not-drawn
collapse,navigation,not-drawn,not-released,not-drawn
sidebar,navigation,not-drawn,not-released,not-drawn
layout,navigation,not-drawn,not-released,not-drawn
compass,navigation,not-drawn,not-released,not-drawn
plus,actions,drawn-pilot,not-released,not-drawn
minus,actions,drawn-pilot,not-released,not-drawn
check,actions,drawn-pilot,not-released,not-drawn
close,actions,drawn-pilot,not-released,not-drawn
edit,actions,drawn-pilot,not-released,not-drawn
copy,actions,drawn-pilot,not-released,not-drawn
trash,actions,drawn-pilot,not-released,not-drawn
undo,actions,not-drawn,not-released,not-drawn
redo,actions,not-drawn,not-released,not-drawn
refresh,actions,drawn-pilot,not-released,not-drawn
filter,actions,drawn-pilot,not-released,not-drawn
sliders,actions,drawn-pilot,not-released,not-drawn
sort-ascending,actions,not-drawn,not-released,not-drawn
sort-descending,actions,not-drawn,not-released,not-drawn
upload,actions,drawn-pilot,not-released,not-drawn
download,actions,drawn-pilot,not-released,not-drawn
share,actions,not-drawn,not-released,not-drawn
save,actions,drawn-pilot,not-released,not-drawn
drag-handle,actions,not-drawn,not-released,not-drawn
move,actions,not-drawn,not-released,not-drawn
file,content,drawn-pilot,not-released,not-drawn
folder,content,drawn-pilot,not-released,not-drawn
folder-open,content,not-drawn,not-released,not-drawn
clipboard,content,not-drawn,not-released,not-drawn
archive,content,not-drawn,not-released,not-drawn
attachment,content,not-drawn,not-released,not-drawn
link,content,drawn-pilot,not-released,not-drawn
link-off,content,not-drawn,not-released,not-drawn
bookmark,content,drawn-pilot,not-released,not-drawn
star,content,drawn-pilot,not-released,not-drawn
calendar,content,drawn-pilot,not-released,not-drawn
clock,content,not-drawn,not-released,not-drawn
tag,content,not-drawn,not-released,not-drawn
image,content,not-drawn,not-released,not-drawn
file-plus,content,not-drawn,not-released,not-drawn
folder-plus,content,not-drawn,not-released,not-drawn
table,content,not-drawn,not-released,not-drawn
list,content,not-drawn,not-released,not-drawn
user,people-communication,drawn-pilot,not-released,not-drawn
users,people-communication,not-drawn,not-released,not-drawn
user-plus,people-communication,not-drawn,not-released,not-drawn
chat,people-communication,drawn-pilot,not-released,not-drawn
chat-dots,people-communication,not-drawn,not-released,not-drawn
mail,people-communication,not-drawn,not-released,not-drawn
